            The Triangulation Report With IMAGINE Photogrammetry

         The output image x, y units:     millimeters
         The output angle unit:   	 degrees
         The output ground X, Y, Z units: meters

              The Input Image Coordinates
                     image ID = 1
       Point ID            x             y
          7001          19.4647       55.2031
          7007          -7.0932       80.2706
          7008          37.0754       79.7965
          7009           8.4980       68.5579
          7010          30.6060       61.1546
          7011          42.3025       61.7857
          7012           8.5178       47.0430
          7013          28.5023       22.4587
          7014          42.4545       27.2895
          7015          -6.4093       21.4772
          7016         -11.9952       13.8106
          7017          -9.4381       13.1663
          7018          45.6133        4.1908
          7019          -7.6032      -19.9541
          7020          23.6134      -27.7339
          7021          44.8959      -39.8681
          7022          11.2941      -44.3585
          7023          26.0077      -44.6656
          7024          -9.7164      -52.0087
          7025          30.1220      -59.3426
          7026          11.6663      -69.5427
          7027          26.3299      -65.6426
          7029           9.3767       54.4188
          7030          44.3547       25.6160
          7031          23.5182       13.3606
          7032          43.6310       13.1903

          Affine coefficients from file (pixels) to film (millimeters)
         A0          A1          A2           B0          B1          B2
     -46.0740    0.012000    0.000000      82.9380    0.000000   -0.012000

                     image ID = 2
       Point ID            x             y
          7001          -5.6425       55.5442
          7002          25.8653       61.1088
          7007         -31.9284       80.4680
          7008          12.7081       80.4503
          7009         -15.9867       68.8609
          7010           5.8426       61.6417
          7011          17.4414       62.3887
          7012         -16.3010       47.2441
          7013           0.6472       22.7248
          7014          14.7123       27.7151
          7015         -33.3795       21.4310
          7016         -38.8504       13.6928
          7017         -36.7089       13.0628
          7018          17.8885        4.5533
          7019         -36.9986      -20.1387
          7020          -4.8699      -27.6623
          7021          14.9158      -39.6631
          7022         -19.0375      -44.4374
          7023          -3.3024      -44.6201
          7024         -39.6386      -52.2634
          7025          -1.6912      -59.3219
          7026         -21.3826      -69.6979
          7027          -6.4864      -65.6755
          7028          37.2707       79.6409
          7029         -15.3570       54.6622
          7030          16.5536       26.0496
          7031          -3.1532       13.5717
          7032          15.9503       13.5683
          7033          34.8704       -5.6696
          7034          22.7971      -58.9047
          7035          28.6449      -60.1093
          7036          36.3357       76.7589
          7040          39.1092       27.5650
          7045          31.0565      -22.0729

          Affine coefficients from file (pixels) to film (millimeters)
         A0          A1          A2           B0          B1          B2
     -46.0740    0.012000    0.000000      82.9380    0.000000   -0.012000

                     image ID = 3
       Point ID            x             y
          7001         -30.1534       54.8834
          7002           1.5034       60.1429
          7006          28.8605       -2.7600
          7008         -10.7163       79.5147
          7009         -39.5705       68.2582
          7010         -18.2703       60.8589
          7011          -6.8167       61.4960
          7013         -27.2755       22.0582
          7014         -13.0585       26.9160
          7018         -10.2753        3.7136
          7020         -34.3714      -28.3999
          7021         -16.3157      -40.6473
          7023         -33.9640      -45.4692
          7025         -35.1597      -60.3000
          7027         -41.1002      -66.6787
          7028          13.6621       78.4800
          7029         -39.4723       54.1057
          7030         -11.3119       25.2368
          7031         -30.0367       12.9324
          7032         -12.0075       12.7591
          7033           5.4981       -6.6866
          7034         -10.8494      -60.0927
